,reaction,metabolite,factor,flux
DM_pnto_R,DM_pnto_R,pnto_R_c,-1.0,-0.0491669729025361
EX_4mop_LPAREN_e_RPAREN_,EX_4mop_LPAREN_e_RPAREN_,4mop_e,-1.0,-21.0541215784661
EX_5mthf_LPAREN_e_RPAREN_,EX_5mthf_LPAREN_e_RPAREN_,5mthf_e,-1.0,-0.03519092952437226
EX_5oxpro_LPAREN_e_RPAREN_,EX_5oxpro_LPAREN_e_RPAREN_,5oxpro_e,-1.0,13.3853111311814
EX_Lcystin_LPAREN_e_RPAREN_,EX_Lcystin_LPAREN_e_RPAREN_,Lcystin_e,-1.0,17.1710873206457
EX_ala_L_LPAREN_e_RPAREN_,EX_ala_L_LPAREN_e_RPAREN_,ala_L_e,-1.0,-13.9960025744489
EX_arg_L_LPAREN_e_RPAREN_,EX_arg_L_LPAREN_e_RPAREN_,arg_L_e,-1.0,28.726297442687
EX_chol_LPAREN_e_RPAREN_,EX_chol_LPAREN_e_RPAREN_,chol_e,-1.0,-0.0207083367213864
EX_co2_LPAREN_e_RPAREN_,EX_co2_LPAREN_e_RPAREN_,co2_e,-1.0,-164.8867305759761
EX_dag_hs_LPAREN_e_RPAREN_,EX_dag_hs_LPAREN_e_RPAREN_,dag_hs_e,-1.0,0.027669353996870597
EX_fol_LPAREN_e_RPAREN_,EX_fol_LPAREN_e_RPAREN_,fol_e,-1.0,0.0351909295243719
EX_glc_LPAREN_e_RPAREN_,EX_glc_LPAREN_e_RPAREN_,glc_D_e,-1.0,276.715452686134
EX_gln_L_LPAREN_e_RPAREN_,EX_gln_L_LPAREN_e_RPAREN_,gln_L_e,-1.0,45.9892716803789
EX_glu_L_LPAREN_e_RPAREN_,EX_glu_L_LPAREN_e_RPAREN_,glu_L_e,-1.0,-28.3627721839107
EX_h2o2_LPAREN_e_RPAREN_,EX_h2o2_LPAREN_e_RPAREN_,h2o2_e,-1.0,33.26431532238903
EX_h2o_LPAREN_e_RPAREN_,EX_h2o_LPAREN_e_RPAREN_,h2o_e,-1.0,0.0
EX_h_LPAREN_e_RPAREN_,EX_h_LPAREN_e_RPAREN_,h_e,-1.0,-546.818592097457
EX_hco3_LPAREN_e_RPAREN_,EX_hco3_LPAREN_e_RPAREN_,hco3_e,-1.0,0.0
EX_his_L_LPAREN_e_RPAREN_,EX_his_L_LPAREN_e_RPAREN_,his_L_e,-1.0,5.12950131850611
EX_hxan_LPAREN_e_RPAREN_,EX_hxan_LPAREN_e_RPAREN_,hxan_e,-1.0,0.058659143274278
EX_ile_L_LPAREN_e_RPAREN_,EX_ile_L_LPAREN_e_RPAREN_,ile_L_e,-1.0,21.1381154004566
EX_lac_D_LPAREN_e_RPAREN_,EX_lac_D_LPAREN_e_RPAREN_,lac_D_e,-1.0,-100.0
EX_lac_L_LPAREN_e_RPAREN_,EX_lac_L_LPAREN_e_RPAREN_,lac_L_e,-1.0,-654.358242209892
EX_lys_L_LPAREN_e_RPAREN_,EX_lys_L_LPAREN_e_RPAREN_,lys_L_e,-1.0,61.0637363867301
EX_mal_L_LPAREN_e_RPAREN_,EX_mal_L_LPAREN_e_RPAREN_,mal_L_e,-1.0,-1.10080380710025
EX_met_L_LPAREN_e_RPAREN_,EX_met_L_LPAREN_e_RPAREN_,met_L_e,-1.0,0.0154548179982521
EX_ncam_LPAREN_e_RPAREN_,EX_ncam_LPAREN_e_RPAREN_,ncam_e,-1.0,0.0
EX_nh4_LPAREN_e_RPAREN_,EX_nh4_LPAREN_e_RPAREN_,nh4_e,-1.0,-200.14734660675674
EX_no_LPAREN_e_RPAREN_,EX_no_LPAREN_e_RPAREN_,no_e,-1.0,23.962820668923072
EX_o2_LPAREN_e_RPAREN_,EX_o2_LPAREN_e_RPAREN_,o2_e,-1.0,151.58560279936896
EX_o2s_LPAREN_e_RPAREN_,EX_o2s_LPAREN_e_RPAREN_,o2s_e,-1.0,232.7461324232616
EX_phe_L_LPAREN_e_RPAREN_,EX_phe_L_LPAREN_e_RPAREN_,phe_L_e,-1.0,0.042332836995212175
EX_pi_LPAREN_e_RPAREN_,EX_pi_LPAREN_e_RPAREN_,pi_e,-1.0,0.12538281398602044
EX_pnto_R_LPAREN_e_RPAREN_,EX_pnto_R_LPAREN_e_RPAREN_,pnto_R_e,-1.0,0.0491669729025361
EX_pyr_LPAREN_e_RPAREN_,EX_pyr_LPAREN_e_RPAREN_,pyr_e,-1.0,-17.802431044308697
EX_so4_LPAREN_e_RPAREN_,EX_so4_LPAREN_e_RPAREN_,so4_e,-1.0,-34.337470970291925
EX_succ_LPAREN_e_RPAREN_,EX_succ_LPAREN_e_RPAREN_,succ_e,-1.0,-1.38355990022543
EX_thr_L_LPAREN_e_RPAREN_,EX_thr_L_LPAREN_e_RPAREN_,thr_L_e,-1.0,38.3132635471458
EX_trp_L_LPAREN_e_RPAREN_,EX_trp_L_LPAREN_e_RPAREN_,trp_L_e,-1.0,0.0013439059998480046
EX_urea_LPAREN_e_RPAREN_,EX_urea_LPAREN_e_RPAREN_,urea_e,-1.0,-117.26767914858772
EX_val_L_LPAREN_e_RPAREN_,EX_val_L_LPAREN_e_RPAREN_,val_L_e,-1.0,2.46006350801509
EX_xan_LPAREN_e_RPAREN_,EX_xan_LPAREN_e_RPAREN_,xan_e,-1.0,-0.0552153331722195
sink_ncam_LSQBKT_c_RSQBKT_,sink_ncam_LSQBKT_c_RSQBKT_,ncam_c,-1.0,0.0
